Theta,RCS
93.0000,-52.7490
94.0000,-50.2365
95.0000,-48.2852
96.0000,-46.6915
97.0000,-45.3455
98.0000,-44.1810
99.0000,-43.1553
100.0000,-42.2392
101.0000,-41.4118
102.0000,-40.6578
103.0000,-39.9655
104.0000,-39.3258
105.0000,-38.7315
106.0000,-38.1768
107.0000,-37.6571
108.0000,-37.1683
109.0000,-36.7072
110.0000,-36.2710
111.0000,-35.8574
112.0000,-35.4644
113.0000,-35.0900
114.0000,-34.7330
115.0000,-34.3918
116.0000,-34.0653
117.0000,-33.7525
118.0000,-33.4525
119.0000,-33.1643
120.0000,-32.8873
121.0000,-32.6208
122.0000,-32.3642
123.0000,-32.1169
124.0000,-31.8785
125.0000,-31.6485
126.0000,-31.4264
127.0000,-31.2120
128.0000,-31.0048
129.0000,-30.8045
130.0000,-30.6110
131.0000,-30.4237
132.0000,-30.2426
133.0000,-30.0675
134.0000,-29.8980
135.0000,-29.7340
136.0000,-29.5754
137.0000,-29.4218
138.0000,-29.2733
139.0000,-29.1296
140.0000,-28.9907
141.0000,-28.8563
142.0000,-28.7264
143.0000,-28.6008
144.0000,-28.4795
145.0000,-28.3623
146.0000,-28.2492
147.0000,-28.1400
148.0000,-28.0348
149.0000,-27.9334
150.0000,-27.8357
151.0000,-27.7418
152.0000,-27.6515
153.0000,-27.5647
154.0000,-27.4814
155.0000,-27.4017
156.0000,-27.3253
157.0000,-27.2524
158.0000,-27.1827
159.0000,-27.1164
160.0000,-27.0533
161.0000,-26.9935
162.0000,-26.9369
163.0000,-26.8834
164.0000,-26.8331
165.0000,-26.7859
166.0000,-26.7418
167.0000,-26.7008
168.0000,-26.6629
169.0000,-26.6280
170.0000,-26.5961
171.0000,-26.5672
172.0000,-26.5413
173.0000,-26.5184
174.0000,-26.4985
175.0000,-26.4815
176.0000,-26.4675
177.0000,-26.4565
178.0000,-26.4483
179.0000,-26.4432
180.0000,-26.4410
